,Index,JobLine,NormorlizedJobLine
4737,4737,"Designed and executed IT portion of corporate headquarters move to a new 64,000 sq. ft. building with zero downtime.",vice presid inform technolog design execut inform technolog portion corpor headquart move new sq ft build zero downtim
4738,4738,"Oversaw the creation of a dedicated, IT business intelligence group and structured development environment in strategic support of CRM, data warehouse, and financial reporting systems.",vice presid inform technolog oversaw creation dedic inform technolog busi intellig group structur develop environ strateg support crm data warehous financi report system
4739,4739,"Technology engineering and support of 2-1-1 call center that processes 100,000 to 150,000 calls per year (50% of Colorado’s statewide 2-1-1 calls).",vice presid inform technolog technolog engin support call center process call per year colorado statewid call
4740,4740,"Recovered tens of thousands of dollars per year by consolidating and renegotiating IT contracts, implementing infrastructure lifecycle management, standardizing PC and server O/S images, utilizing refurbished equipment, and implementing virtualization technologies.",vice presid inform technolog recov ten thousand dollar per year consolid renegoti inform technolog contract implement infrastructur lifecycl manag standard pc server imag util refurbish equip implement virtual technolog
4741,4741,"Implemented company’s first comprehensive monitoring and metrics of application, network and server availability/performance.",vice presid inform technolog implement compani first comprehens monitor metric applic network server avail perform
4742,4742,"Responsible for mission critical support of all computer, network, and telecom infrastructure including 175 Windows 7/8 workstations and 35 Windows 2008/2012 servers.",vice presid inform technolog respons mission critic support comput network telecom infrastructur includ window workstat window server
4743,4743,Team maintains over 99.9% uptime for all mission critical hardware and software platforms.,vice presid inform technolog team maintain uptim mission critic hardwar softwar platform
4744,4744,"Directly responsible for mission critical support of all computer, network, and telecom infrastructure including 800 Windows XP/Windows 7 workstations and 160 Windows 2003/2008 servers at 28 treatment centers, five operations offices, and two co-location facilities.",director inform technolog infrastructur directli respons mission critic support comput network telecom infrastructur includ window xp window workstat window server treatment center five oper offic two co locat facil
4745,4745,"As the strategic and technical IT lead, built, manage, and backup eight person team including Network Engineer, System Administrator, Help Desk Manager and IT Support Specialists.",director inform technolog infrastructur strateg technic inform technolog lead built manag backup eight person team includ network engin system administr help desk manag inform technolog support specialist
4746,4746,"Responsible for all new hire and terminate activities, staff scheduling, mentoring, and reviews.",director inform technolog infrastructur respons new hire termin activ staff schedul mentor review
4747,4747,"Consistent record of delivering major IT projects on time and under budget including: integrations of newly acquired treatment centers, new treatment center builds, treatment center moves, co-location deployment, and co-location relocation.",director inform technolog infrastructur consist record deliv major inform technolog project time budget includ integr newli acquir treatment center new treatment center build treatment center move co locat deploy co locat reloc
4748,4748,Maintain over 99.9% uptime for network infrastructure using an MPLS WAN with VPN over Internet redundancy.,director inform technolog infrastructur maintain uptim network infrastructur use mpl wan vpn internet redund
4749,4749,"Maintain over 99.9% uptime for server infrastructure using high availability software (Citrix and Double-Take) and hardware (RAID, UPS, and hot spares) to support company treatment planning systems, record and verify systems, email, and all infrastructure servers.",director inform technolog infrastructur maintain uptim server infrastructur use high avail softwar citrix doubl take hardwar raid up hot spare support compani treatment plan system record verifi system email infrastructur server
4750,4750,"Designed, deployed, and tested company's first Business Continuity/Disaster Recovery infrastructure for core billing, financial and infrastructure systems.",director inform technolog infrastructur design deploy test compani first busi continu disast recoveri infrastructur core bill financi infrastructur system
4751,4751,"Implemented company's first comprehensive IT monitoring of network, server, power and temperature health using APC, HP, SolarWinds monitoring tools.",director inform technolog infrastructur implement compani first comprehens inform technolog monitor network server power temperatur health use apc hp solarwind monitor tool
4752,4752,"Responsible for $2M OpEx and $2M CapEx IT budgets including staffing, hardware and software purchasing, telecom, BC/DR, and travel.",director inform technolog infrastructur respons opex capex inform technolog budget includ staf hardwar softwar purchas telecom bc dr travel
4753,4753,Responsible for IT compliance with HIPAA and PCI regulations and have designed infrastructure to be complaint with SOX regulations for the future.,director inform technolog infrastructur respons inform technolog complianc hipaa pci regul design infrastructur complaint sox regul futur
4754,4754,"Recovered up to $100,000/yr by consolidating billing and vendors, renegotiating IT contracts, implementing infrastructure lifecycle management, standardizing PC and server O/S images, and modeling VMWare-based virtualization.",director inform technolog infrastructur recov yr consolid bill vendor renegoti inform technolog contract implement infrastructur lifecycl manag standard pc server imag model vmware base virtual
4755,4755,Coordinate and manage all communications between business operations and corporate IT.,director inform technolog infrastructur coordin manag commun busi oper corpor inform technolog
4756,4756,Developed first standardized IT project templates for treatment center integrations and new treatment center builds.,director inform technolog infrastructur develop first standard inform technolog project templat treatment center integr new treatment center build
4757,4757,Team responsible for closing 800+ IT support tickets per month.,director inform technolog infrastructur team respons close inform technolog support ticket per month
4758,4758,"Managed eleven person team of Help Desk Technicians, System Administrators, System Engineers, and System Architects.",manag inform technolog oper window manag eleven person team help desk technician system administr system engin system architect
4759,4759,"Responsible for all new hire and terminate activities, staff scheduling, mentoring, and reviews.",manag inform technolog oper window respons new hire termin activ staff schedul mentor review
4760,4760,Directly responsible for mission critical support of all Windows-based computer infrastructure including 625+ Windows XP/2000 workstations and 80+ Windows 2003/2000 servers.,manag inform technolog oper window directli respons mission critic support window base comput infrastructur includ window xp workstat window server
4761,4761,"Maintained over 99.9% uptime for entire Windows server infrastructure including satellite control systems, imagery production systems, email, and communications servers, and all file and document management servers.",manag inform technolog oper window maintain uptim entir window server infrastructur includ satellit control system imageri product system email commun server file document manag server
4762,4762,"Consistent record of major IT-dependent projects delivered on time and under budget including: mission critical satellite control systems, imagery production systems, and office moves.",manag inform technolog oper window consist record major inform technolog depend project deliv time budget includ mission critic satellit control system imageri product system offic move
4763,4763,"Responsible for Windows IT budget planning including staffing, hardware and software purchasing, infrastructure, and travel.",manag inform technolog oper window respons window inform technolog budget plan includ staf hardwar softwar purchas infrastructur travel
4764,4764,Ensured a stable environment by standardizing processes and procedures and maintaining detailed documentation for all systems.,manag inform technolog oper window ensur stabl environ standard process procedur maintain detail document system
4765,4765,Coordinated all communications between business operations and corporate IT for Windows IT projects.,manag inform technolog oper window coordin commun busi oper corpor inform technolog window inform technolog project
4766,4766,Member of IT Management Team responsible for the strategic direction of corporate IT initiatives.,manag inform technolog oper window member inform technolog manag team respons strateg direct corpor inform technolog initi
4767,4767,Team responsible for closing 500+ IT support tickets per month.,manag inform technolog oper window team respons close inform technolog support ticket per month
4768,4768,Installation and upgrading Office applications and maintenance.,inform technolog coordin instal upgrad offic applic mainten
4769,4769,Microsoft Outlook database management and setup.,inform technolog coordin microsoft outlook databas manag setup
4770,4770,Install and Administrating File and Print Servers also configuring shared files and folders.,inform technolog coordin instal administr file print server also configur share file folder
4771,4771,Setup Eset Endpoint security onto the desktops and configure real time Antivirus protection and restricted user access on network and applications.,inform technolog coordin setup eset endpoint secur onto desktop configur real time antiviru protect restrict user access network applic
4772,4772,"Support Network MFP printers & standalone printers, Fax machines, UPS, Projector and.",inform technolog coordin support network mfp printer standalon printer fax machin up projector
4773,4773,"Resolved hardware failures by troubleshooting hard drives, diagnosing memory issues and checking power supply.",inform technolog coordin resolv hardwar failur troubleshoot hard drive diagnos memori issu check power suppli
4774,4774,"Oracle VM, VMware Virtual Machines management and VPN Configuration site to site.",inform technolog coordin oracl vm vmware virtual machin manag vpn configur site site
4775,4775,"Office 2007, 2010 support and maintenance.",inform technolog coordin offic support mainten
4776,4776,MS Outlook database and troubleshooting.,inform technolog coordin ms outlook databas troubleshoot
4777,4777,Providing Routers configures as different modes and implementing on business networks.,inform technolog coordin provid router configur differ mode implement busi network
4778,4778,Terminates network and Telephone points on Emergency basis.,inform technolog coordin termin network telephon point emerg basi
4779,4779,Travels onsite and abroad as directed by the IT Manager.,inform technolog coordin travel onsit abroad direct inform technolog manag
4780,4780,"Maintains IT Dept.'s filling system, eg.",inform technolog coordin maintain inform technolog dept fill system eg
4781,4781,Purchasing files (LPO/ Receipts) for audit purpose.,inform technolog coordin purchas file lpo receipt audit purpos
4782,4782,24x7 Onsite and remote support on Oracle micros systems.,inform technolog coordin onsit remot support oracl micro system
4783,4783,Liaise with IT hardware and software suppliers regarding purchases.,inform technolog coordin liais inform technolog hardwar softwar supplier regard purchas
4784,4784,IT Asset inventory management.,inform technolog coordin inform technolog asset inventori manag
4785,4785,"Performed help desk duties as Server/Network Administrator, configuring servers, computers, software installations and management, and Avaya phone support.",inform technolog coordin perform help desk duti server network administr configur server comput softwar instal manag avaya phone support
4786,4786,Assisted with setup and deployment of Cisco and other network switches for up to 100 employees and coordinated and approved all IT hardware purchases.,inform technolog coordin assist setup deploy cisco network switch employe coordin approv inform technolog hardwar purchas
4787,4787,VM support.,inform technolog coordin vm support
4788,4788,"Setup and deployed Arlo bases, Arlo cameras, and Zebra scanners.",inform technolog coordin setup deploy arlo base arlo camera zebra scanner
4789,4789,"Served as Sales Order Coordinator Manger which included downloading and creating payment and sales orders information data using Microsoft Excel and Acumatica, preparing orders for logistical transport through FedEx and UPS.",inform technolog coordin serv sale order coordin manger includ download creat payment sale order inform data use microsoft excel acumatica prepar order logist transport fedex up
4790,4790,"Managed accounts in the database, including payments posting and order verification.",inform technolog coordin manag account databas includ payment post order verif
4791,4791,Developed software applications in test-driven development (TDD) environment.,applic develop develop softwar applic test driven develop tdd environ
4792,4792,"Programmed applications and tools using object-oriented languages with goals of code abstraction, stability and reuse.",applic develop program applic tool use object orient languag goal code abstract stabil reus
4793,4793,"Coded, tested and debugged programs as outlined by technical and functional requirements.",applic develop code test debug program outlin technic function requir
4794,4794,"Mentored newly hired employees, prepared for project tasks, and trained on unfamiliar systems.",applic develop mentor newli hire employe prepar project task train unfamiliar system
4795,4795,Reviewed project documentation and made important changes to match updates to project scope.,applic develop review project document made import chang match updat project scope
4796,4796,Leveraged multiple programming languages to develop applications for various platforms.,applic develop leverag multipl program languag develop applic variou platform
4797,4797,Wrote programs using various computer languages to optimize performance for computer applications and software.,applic develop wrote program use variou comput languag optim perform comput applic softwar
4798,4798,Resolved customer issues by establishing workarounds and solutions to debug and create defect fixes.,applic develop resolv custom issu establish workaround solut debug creat defect fix
4799,4799,Worked on Payroll project and deployed forms on Web.,applic develop work payrol project deploy form web
4800,4800,"Using Oracle tools converted forms 3.0 to forms version 5.0 and used PL/SQL procedures, functions and packages.",applic develop use oracl tool convert form form version use pl sql procedur function packag
4801,4801,Managing finance department to ensure compliance with company policies and procedures. Maintained central financial accounting system that receives data from various other locations.,applic develop manag financ depart ensur complianc compani polici procedur maintain central financi account system receiv data variou locat
4802,4802,For marketing sales department created hierarchy view to design Reports.,applic develop market sale depart creat hierarchi view design report
4803,4803,Using Seagate Software created reports.,applic develop use seagat softwar creat report
4804,4804,Provided continued development to improve the User Interface for a Large E-commerce Application.,applic develop provid continu develop improv user interfac larg commerc applic
4805,4805,Used Angular4 along with TYPESCRIPT to build the frontend Applications.,applic develop use angular along typescript build frontend applic
4806,4806,Used WebPack to setup work flows and also as the build tool.,applic develop use webpack setup work flow also build tool
4807,4807,Consistently met deadlines and requirements for all production work orders.,applic develop consist met deadlin requir product work order
4808,4808,"Used SASS as the CSS pre processor. Extensively used functional programming libraries Rxjs , Lodash to keep the code clean and maintainable.",applic develop use sass css pre processor extens use function program librari rxj lodash keep code clean maintain
4809,4809,Used Handlebars as the templating engine along with Adobe Sightly to build reusable AEM(Adobe experience Manager) components.,applic develop use handlebar templat engin along adob sightli build reusabl aem adob experi manag compon
4810,4810,Configured docker image to setup and run local AEM(Adobe experience Manager) instances.,applic develop configur docker imag setup run local aem adob experi manag instanc
4811,4811,Did Search Engine Optimization for different pages in the commerce application according to the standards mentioned in Schema.org(https://schema.org).,applic develop search engin optim differ page commerc applic accord standard mention schema org http schema org
4812,4812,Worked on Proof of Concept to build the fastest rendering pages from various web channels using Google AMP(https://www.ampproject.org/).,applic develop work proof concept build fastest render page variou web channel use googl amp http www ampproject org
4813,4813,Used jasmine and Karma as the testing framework to write the unit tests for angular applications using RxMarbles and jest to write the unit tests for front end AEM components built using typescript.,applic develop use jasmin karma test framework write unit test angular applic use rxmarbl jest write unit test front end aem compon built use typescript
4814,4814,"Familiar analyzing IBM Tealeaf sessions , resolved many critical production issues analyzing Tealeaf sessions",applic develop familiar analyz ibm tealeaf session resolv mani critic product issu analyz tealeaf session
4815,4815,Created ETL solutions using Visual Studio and SQL Studio Management Studio.,applic develop creat etl solut use visual studio sql studio manag studio
4816,4816,Parsed and massaged data into Guidewire specific formats following tight edits,applic develop pars massag data guidewir specif format follow tight edit
4817,4817,Promoted and automated ETL processes,applic develop promot autom etl process
4818,4818,"Performance tuned existing queries to cut down on time, reducing overall process from 2 hours to 8 minutes.",applic develop perform tune exist queri cut time reduc overal process hour minut
4819,4819,"Engineering Efficiency  -  Lead  SWAT team  which reduced application maintenance costs and improved SLAs by  performance tuning  ETL code. Average batch execution  load time gain of approx. 90 minutes.  Designed, built and implemented multiple solutions for fault alert mechanisms and audit variance trails significantly resolving data gaps and fix critical analytics reports.",applic develop engin effici lead swat team reduc applic mainten cost improv sla perform tune etl code averag batch execut load time gain approx minut design built implement multipl solut fault alert mechan audit varianc trail significantli resolv data gap fix critic analyt report
4820,4820,"Worked in Global Device strategy team, TCE initiative",softwar engin qa work global devic strategi team tce initi
4821,4821,Performed RCA [Root Cause Analysis] activity on all device related customer escalations.,softwar engin qa perform rca root caus analysi activ devic relat custom escal
4822,4822,Run manual/automation tests for on-going releases.,softwar engin qa run manual autom test go releas
4823,4823,"Expertise in Qualifying various storage devices NAS, NetGear, CIFS/NFS, Tape Libraries, Jukebox, SILOs.",softwar engin qa expertis qualifi variou storag devic na netgear cif nf tape librari jukebox silo
4824,4824,"Visual C++, Windows, STL, OOP, MFC, threads, file maps, ATL, IPC, FTP, TCP, HTTP, XML, JSON, services, web services, REST API, SOA, media formats and standards, codec SDK and integration, MPEG-DASH, API design and documentation.",softwar engin manag visual window stl oop mfc thread file map atl ipc ftp tcp http xml json servic web servic rest api soa media format standard codec sdk integr mpeg dash api design document
4825,4825,"BCD spinoff as Imagine in 2013) Nexio video servers and applications facilitate collaborative workflow in Nexio LAN with video servers, services and applications running in various nodes.",softwar engin manag bcd spinoff imagin nexio video server applic facilit collabor workflow nexio lan video server servic applic run variou node
4826,4826,Media comes from proprietary SAN or generic storage off NAS.,softwar engin manag media come proprietari san gener storag na
4827,4827,"Development and team management, Nexio servers' applications, Playout business unit: Relocated from IL to CA, took on larger role, and video server applications as well.",softwar engin manag develop team manag nexio server applic playout busi unit reloc il ca took larger role video server applic well
4828,4828,"Led team of 6 from Burbank, team of 8 from Naperville, and team of 8 (indirect report) from Beijing.",softwar engin manag led team burbank team napervil team indirect report beij
4829,4829,"Introduced peer reviews, repurposed components, and all 3 teams collaborated as one large team.",softwar engin manag introduc peer review repurpos compon team collabor one larg team
4830,4830,"Adopted Scrum since 2014 (ScrumMaster), team of 3 to 6 from Burbank; Naperville office closed in 2013.",softwar engin manag adopt scrum sinc scrummast team burbank napervil offic close
4831,4831,"Team migrated source revision control to Mercurial / Jenkins, 30+ products.",softwar engin manag team migrat sourc revis control mercuri jenkin product
4832,4832,"Recipient of ""Reuse Innovation Award"" for IP reuse, major factor to Server business unit turnaround.",softwar engin manag recipi reus innov award ip reus major factor server busi unit turnaround
4833,4833,"Released deliverables for Nexio Software Suite 6.0, 7.0, 8.0, Global Proxy Suite 2.5, 3.0, 3.5 Initiated, architected and executed SOA from concept to completion to facilitate decoupled UI clients, 2 web services and 10 services, and selected hands-on projects include: Hercules web service for web player solution based off MPEG-DASH Created C++ engine to process URI, handle sessions, and deliver segmented MP4 atoms (H.264, AAC) Provides dynamic HTML5 player page; JavaScript source based off dash JS.",softwar engin manag releas deliver nexio softwar suit global proxi suit initi architect execut soa concept complet facilit decoupl ui client web servic servic select hand project includ hercul web servic web player solut base mpeg dash creat engin process uri handl session deliv segment mp atom aac provid dynam html player page javascript sourc base dash js
4834,4834,"Supports multiple raster sizes and bit rates; ""ready to go"" and ""just in time"" sessions.",softwar engin manag support multipl raster size bit rate readi go just time session
4835,4835,"Team helped with providing C# web service framework, CLI bridge layer, and device testing.",softwar engin manag team help provid web servic framework cli bridg layer devic test
4836,4836,"Published functional, REST API, and URI specification document.",softwar engin manag publish function rest api uri specif document
4837,4837,JSON services on TCP stack using C++ as part of SOA Created API framework classes; multi-threaded server side socket classes.,softwar engin manag json servic tcp stack use part soa creat api framework class multi thread server side socket class
4838,4838,"Created header only JSON parser on top of open source ""rapid json"" for SAX style reader.",softwar engin manag creat header json parser top open sourc rapid json sax style reader
4839,4839,"Developed new services: Content Manager, Helper, Picon, and Requestor.",softwar engin manag develop new servic content manag helper picon requestor
4840,4840,"Evolved as services: Encoder, GPRX, Helios, MB, Scavenger, and Transcoder.",softwar engin manag evolv servic encod gprx helio mb scaveng transcod
4841,4841,"Guided GPRX, Helper, and Requestor to completion.",softwar engin manag guid gprx helper requestor complet
4842,4842,Published 10 JSON protocol API documents for 3rd party and in-house use.,softwar engin manag publish json protocol api document rd parti hous use
4843,4843,Content Manager service for primary-backup workflows Multi-threaded rules based engine to manage media contents between two domains.,softwar engin manag content manag servic primari backup workflow multi thread rule base engin manag media content two domain
4844,4844,Architected and developed new UMID based solution (gen 2) for new workflow needs and scalability.,softwar engin manag architect develop new umid base solut gen new workflow need scalabl
4845,4845,"Scavenger, Transcoder for low-res proxy management Needed solution to improve legacy products, required regular hand holding, remained escalated.",softwar engin manag scaveng transcod low re proxi manag need solut improv legaci product requir regular hand hold remain escal
4846,4846,"Proposed new approach, teamed up, and successfully wrote two new 24/7 products.",softwar engin manag propos new approach team success wrote two new product
4847,4847,"MediaBase DLL, desktop explorer for assets (C++, MFC) Guided to optimize original implementation for 200K IDs to meet storage scalability needs.",softwar engin manag mediabas dll desktop explor asset mfc guid optim origin implement id meet storag scalabl need
4848,4848,Achieved constant UI performance under few milliseconds regardless of user operation.,softwar engin manag achiev constant ui perform millisecond regardless user oper
4849,4849,"Proposed to introduce ""dta-handler"" architecture in ftp-server Approach helped to consolidate all media formats as one product build, and scalability.",softwar engin manag propos introduc dta handler architectur ftp server approach help consolid media format one product build scalabl
4850,4850,Team added one converter DLL per media container format for import and export.,softwar engin manag team ad one convert dll per media contain format import export
4851,4851,"Development and team management, Nexio editing applications: Led team of 8 from Naperville, and team of 8 (indirect report) from Beijing.",softwar engin manag develop team manag nexio edit applic led team napervil team indirect report beij
4852,4852,"Hired, mentored and built core editing team to size of 8, and collaborated with expanded team in Beijing.",softwar engin manag hire mentor built core edit team size collabor expand team beij
4853,4853,Established development process document for consistent procedures and peer code review guidelines.,softwar engin manag establish develop process document consist procedur peer code review guidelin
4854,4854,Team established crash dump analysis procedures to help troubleshoot hard to repeat issues.,softwar engin manag team establish crash dump analysi procedur help troubleshoot hard repeat issu
4855,4855,Released deliverables for Video Editing Suite 2.5 Proposed architecture and teamed up to develop server integration modules for video broadcast workflows.,softwar engin manag releas deliver video edit suit propos architectur team develop server integr modul video broadcast workflow
4856,4856,Lead Agile Development teams and processes to deliver high quality software; manage day-to-day activities of engineering teams.,softwar engin manag lead agil develop team process deliv high qualiti softwar manag day day activ engin team
4857,4857,Provide regular high-level communications to senior leadership team.,softwar engin manag provid regular high level commun senior leadership team
4858,4858,"Provide career development, coaching and performance management for engineers, and team leads.",softwar engin manag provid career develop coach perform manag engin team lead
4859,4859,"Analyze, design and implement complex cloud native full stack solutions developed with distributed microservices, micro-frontend UX deployed in AWS with emphasis on customer experience and data security.",softwar engin manag analyz design implement complex cloud nativ full stack solut develop distribut microservic micro frontend ux deploy aw emphasi custom experi data secur
4860,4860,Delivery highlights: New Loan Originations Platform (5/XXX1). Backend Core Systems Integration stack for Salesforce application rolled out for originating PPP loans. Successfully migrated 1.3B from external booking system to internal system of record (10/XXX0). New document management system for the line of business (9/2019). Cloud migration of Lending applications (7/2017 - 2/2019).,softwar engin manag deliveri highlight new loan origin platform xxx backend core system integr stack salesforc applic roll origin ppp loan success migrat extern book system intern system record xxx new document manag system line busi cloud migrat lend applic
4861,4861,"Tech stack: java, spring-boot, python, angular, jpa, mysql, postgresql, docker, kafka, ci/cd, AWS: ECS, EC2, R53, ALB, Cloudwatch, SNS, SQS, RDS, S3 etc.",softwar engin manag tech stack java spring boot python angular jpa mysql postgresql docker kafka ci cd aw ec ec alb cloudwatch sn sq rd etc
4862,4862,"Reporting to the Director of Engineering, Cloud Solution and Virtualization BU, leading and managing software development and testing teams in Cisco across US, Canada and UK",softwar engin manag report director engin cloud solut virtual bu lead manag softwar develop test team cisco across us canada uk
4863,4863,"As a Software Engineering Manager, I am responsible for leading two teams of software developers in planning, directing, and overseeing software development process for the Cisco Cloud Platform and Virtualization Group",softwar engin manag softwar engin manag respons lead two team softwar develop plan direct overse softwar develop process cisco cloud platform virtual group
4864,4864,"My primary responsibilities include, but are not limited to, technical direction on building a Java based enterprise software products (Cisco VNF Manager, Cisco VTS, Cisco OpenStack Simulator, Cisco REST Simulator, Cisco NSO and CVIM), overseeing agile software development process (PO and SM), working with various line of business (LOB), program managers and product owners on requirement/design/integration of software components, working with various project management teams to ensure that the projects (various releases of VNF Manager) are completed and delivered in a timely manner, working with the business owners on planning and preparing for new projects, addressing customer issues/escalations and production support",softwar engin manag primari respons includ limit technic direct build java base enterpris softwar product cisco vnf manag cisco vt cisco openstack simul cisco rest simul cisco nso cvim overse agil softwar develop process po sm work variou line busi lob program manag product owner requir design integr softwar compon work variou project manag team ensur project variou releas vnf manag complet deliv time manner work busi owner plan prepar new project address custom issu escal product support
4865,4865,"Led the effort of design, architecture, development, and delivery of valuable and business critical interfaces (NETCONF, REST) to variety of LOBs such as Mobile, Banking, Enterprise and Service Providers.",softwar engin manag led effort design architectur develop deliveri valuabl busi critic interfac netconf rest varieti lob mobil bank enterpris servic provid
4866,4866,"Reporting to the VP of Engineering, Packet Design Inc (bought by Ciena/now Blue Planet), leading and managing engineering (test and development teams) of onshore and offshore resources (US and India, total 20 as of now)",softwar engin manag report vp engin packet design inc bought ciena now blue planet lead manag engin test develop team onshor offshor resourc us india total now
4867,4867,"Participated in getting more than $5M in quarter (highest deal) in deals from various customers (ATT, T-Mobile…etc.)",softwar engin manag particip get quarter highest deal deal variou custom att mobil etc
4868,4868,Saved more than $500K in Labs Hardware and Build Servers by KVM and VMware Virtualization,softwar engin manag save lab hardwar build server kvm vmware virtual
4869,4869,Worked with various project management teams to ensure that the projects (various releases of Route Optimization and Analysis (ROA) products) are completed and delivered in a timely manner (From R1.0 to R12.0),softwar engin manag work variou project manag team ensur project variou releas rout optim analysi roa product complet deliv time manner
4870,4870,"Worked with the business owners on planning and preparing for new projects, addressing customer issues/escalations and production support",softwar engin manag work busi owner plan prepar new project address custom issu escal product support
4871,4871,"Lead effort in performing functional, system verification, scale, and performance testing of Packet Design proprietary product line, which includes products like Route Explorer, VPN Explorer, Traffic Explorer, and Multicast Explorer etc",softwar engin manag lead effort perform function system verif scale perform test packet design proprietari product line includ product like rout explor vpn explor traffic explor multicast explor etc
4872,4872,"Involved in Cross-functional meetings, table review for all new features for upcoming releases, purchasing various equipment for labs from various vendors and hiring new members in team from selection of candidate’s resume to orientation",softwar engin manag involv cross function meet tabl review new featur upcom releas purchas variou equip lab variou vendor hire new member team select candid resum orient
4873,4873,Involved in handling the customer’s issues and helping Sales for training the new hire and demoing various features of products (onsite and offshore),softwar engin manag involv handl custom issu help sale train new hire demo variou featur product onsit offshor
4874,4874,Led the system design for the platform to scale 5X from 10k request per day to 50k request a day using cloud native and event driven design patterns.,softwar engin manag led system design platform scale request per day request day use cloud nativ event driven design pattern
4875,4875,Evaluating cloud native services provided by AWS to build the platform. Partnering closely with engineering teams to get it to Production.,softwar engin manag evalu cloud nativ servic provid aw build platform partner close engin team get product
4876,4876,Sarine is a world-leading software company in the diamond industry.,softwar engin manag sarin world lead softwar compani diamond industri
4877,4877,"Contributed to the design, architecture, and full implementation of a technological system (combined software/hardware) that measures diamonds through image processing, 3D-modeling, and complex algorithms that simulate polished diamonds within a given rough stone.",softwar engin manag contribut design architectur full implement technolog system combin softwar hardwar measur diamond imag process model complex algorithm simul polish diamond within given rough stone
4878,4878,"Began as Software Developer, promoted to Team Leader, then promoted to Director of Software Development Group.",softwar engin manag began softwar develop promot team leader promot director softwar develop group
4879,4879,As Director of Software Development Group (2006): Oversaw development process for three teams (15 developers).,softwar engin manag director softwar develop group oversaw develop process three team develop
4880,4880,"Managed work plan, time tables for design and implementation, interviewing and recruiting.",softwar engin manag manag work plan time tabl design implement interview recruit
4881,4881,Served as technical lead for the teams' shared infrastructure.,softwar engin manag serv technic lead team share infrastructur
4882,4882,As Team Leader (2003-2006): Led the Advisor software team ­ the company's leading product (5 developers):,softwar engin manag team leader led advisor softwar team compani lead product develop
4883,4883,Served as lead-architect and guru for large-scale design for all teams.,softwar engin manag serv lead architect guru larg scale design team
4884,4884,"Managed code conventions, code documentation regulations, and design documentation.",softwar engin manag manag code convent code document regul design document
4885,4885,"Took active part in implementation (80% of the time or more), developed mostly in C++/MFC, but also C#/.NET, Access/ADO for Database.",softwar engin manag took activ part implement time develop mostli mfc also net access ado databas
4886,4886,"As Software Developer (2001-2003): Took part in an expert team of developers, writing in all layers: algorithmic logic layer, data tier, user interface over various Windows OS.",softwar engin manag softwar develop took part expert team develop write layer algorithm logic layer data tier user interfac variou window os
4887,4887,Developed 3d modeling and viewing using DirectX.,softwar engin manag develop model view use directx
4888,4888,Coded service layer in a complex mathematical environment.,softwar engin manag code servic layer complex mathemat environ
4889,4889,"Worked with hardware using sensitive, precise, multi-threaded processes.",softwar engin manag work hardwar use sensit precis multi thread process
4890,4890,"As Freelance Advisor (2006-2008, upon moving to the U.S. to attend graduate school): served as an advisor and quick problem-solver.",softwar engin manag freelanc advisor upon move attend graduat school serv advisor quick problem solver
4891,4891,"Implemented urgent features, working with product management and taking charge of full-stack implementation.",softwar engin manag implement urgent featur work product manag take charg full stack implement
4892,4892,Leading multiple engineering teams to come up with the detailed designs and closely working on the technical roadmap and implementation of all the components from inception to production.,softwar engin manag lead multipl engin team come detail design close work technic roadmap implement compon incept product
4893,4893,Working closely with multiple Product teams and Engineers to help define the roadmap and features required to be built on the platform,softwar engin manag work close multipl product team engin help defin roadmap featur requir built platform
4894,4894,Participate in hiring with a focus on adding great and diverse talent to the engineering teams.,softwar engin manag particip hire focu ad great divers talent engin team
4895,4895,Setting clear expectations and goals/OKRs for the engineers at different levels on the team and provide mentorship and creating opportunities for them to grow in their role.,softwar engin manag set clear expect goal okr engin differ level team provid mentorship creat opportun grow role
4896,4896,"Hire, manage and grow engineers (Managers and ICs) on the teams.",softwar engin manag hire manag grow engin manag ic team
4897,4897,"Lead the Architecture, design and technical development of applications by working closely with Senior ICs and Product to continuously improve capabilities for serving our customers.",softwar engin manag lead architectur design technic develop applic work close senior ic product continu improv capabl serv custom
4898,4898,"Create the technical strategy (OKRs), roadmap, vision and success criteria for current and new initiatives by partnering with Product Leads and Engineers and external stakeholders.",softwar engin manag creat technic strategi okr roadmap vision success criteria current new initi partner product lead engin extern stakehold
4899,4899,Partner closely with product team to plan the goals and roadmap across the capabilities. and manage tradeoffs and prioritization across multiple stakeholder groups across the company.,softwar engin manag partner close product team plan goal roadmap across capabl manag tradeoff priorit across multipl stakehold group across compani
4900,4900,"Promoted data-driven analysis, utilizing data to measure performance, identify opportunities, and make successful decisions.",softwar engin manag promot data driven analysi util data measur perform identifi opportun make success decis
4901,4901,Was responsible for managing software development teams and the technological footprint of the US organization. Built software teams and served as an advisor for clients across various industries including two Fortune 500 companies,softwar engin manag respons manag softwar develop team technolog footprint us organ built softwar team serv advisor client across variou industri includ two fortun compani
4902,4902,"Technical lead for two Agile SCRUM teams of over 20 software engineers both in New York, France, and India for Adecco.",softwar engin manag technic lead two agil scrum team softwar engin new york franc india adecco
4903,4903,"Lead AWS architectural planning/design sessions, and worked directly with Product to translate requirements into technical specifications",softwar engin manag lead aw architectur plan design session work directli product translat requir technic specif
